Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Aruba,all_energy_types,1988,0.005570153,0.0,1.51893,61.072,91.20632264,3.667155521,0.1
Aruba,coal,1988,0.0,0.0,1.51893,61.072,91.20632264,3.667155521,0.0
Aruba,natural_gas,1988,0.0,0.0,1.51893,61.072,91.20632264,3.667155521,0.0
Aruba,petroleum_n_other_liquids,1988,0.005570153,0.0,1.51893,61.072,91.20632264,3.667155521,0.1
Aruba,nuclear,1988,0.0,0.0,1.51893,61.072,91.20632264,3.667155521,0.0
Aruba,renewables_n_other,1988,0.0,0.0,1.51893,61.072,91.20632264,3.667155521,0.0
Australia,all_energy_types,1988,3.600307087,5.845689871,484.463,16568.15,217.3029027,7.431541908,259.3324919
Australia,coal,1988,1.500840605,3.917605372,484.463,16568.15,217.3029027,7.431541908,140.7450129
Australia,natural_gas,1988,0.578865,0.578865,484.463,16568.15,217.3029027,7.431541908,29.43987097
Australia,petroleum_n_other_liquids,1988,1.396856238,1.203547859,484.463,16568.15,217.3029027,7.431541908,89.147608
Australia,nuclear,1988,0.0,0.0,484.463,16568.15,217.3029027,7.431541908,0.0
Australia,renewables_n_other,1988,0.123745244,0.14567164,484.463,16568.15,217.3029027,7.431541908,0.0
Austria,all_energy_types,1988,1.106927306,0.50192675,247.8359,7587.567,145.8869893,4.466371926,51.22309225
Austria,coal,1988,0.09586051,0.029259554,247.8359,7587.567,145.8869893,4.466371926,12.48853501
Austria,natural_gas,1988,0.195299,0.047256,247.8359,7587.567,145.8869893,4.466371926,10.87714723
Austria,petroleum_n_other_liquids,1988,0.426477608,0.052239892,247.8359,7587.567,145.8869893,4.466371926,27.85741
Austria,nuclear,1988,0.0,0.0,247.8359,7587.567,145.8869893,4.466371926,0.0
Austria,renewables_n_other,1988,0.389290188,0.373171304,247.8359,7587.567,145.8869893,4.466371926,0.0
Azerbaijan,all_energy_types,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,coal,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,natural_gas,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,petroleum_n_other_liquids,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,nuclear,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,renewables_n_other,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,all_energy_types,1988,0.228953512,0.298459312,17.312,439.094,521.4225478,13.22513356,14.75442161
Bahrain,coal,1988,0.0,0.0,17.312,439.094,521.4225478,13.22513356,0.0
Bahrain,natural_gas,1988,0.190554,0.190554,17.312,439.094,521.4225478,13.22513356,12.05442161
Bahrain,petroleum_n_other_liquids,1988,0.038399512,0.107905312,17.312,439.094,521.4225478,13.22513356,2.7
Bahrain,nuclear,1988,0.0,0.0,17.312,439.094,521.4225478,13.22513356,0.0
Bahrain,renewables_n_other,1988,0.0,0.0,17.312,439.094,521.4225478,13.22513356,0.0
Bangladesh,all_energy_types,1988,0.225413801,0.149763122,148.232,98186.4,2.295774175,1.520682454,11.77380851
Bangladesh,coal,1988,0.001505964,0.0,148.232,98186.4,2.295774175,1.520682454,0.13346015
Bangladesh,natural_gas,1988,0.14115,0.14115,148.232,98186.4,2.295774175,1.520682454,6.540348357
Bangladesh,petroleum_n_other_liquids,1988,0.075861406,0.00171669,148.232,98186.4,2.295774175,1.520682454,5.1
Bangladesh,nuclear,1988,0.0,0.0,148.232,98186.4,2.295774175,1.520682454,0.0
Bangladesh,renewables_n_other,1988,0.006896432,0.006896432,148.232,98186.4,2.295774175,1.520682454,0.0
Barbados,all_energy_types,1988,0.016280672,0.003733773,3.65318,258.97,62.86702059,4.456575456,1.222220132
Barbados,coal,1988,0.0,0.0,3.65318,258.97,62.86702059,4.456575456,0.0
Barbados,natural_gas,1988,0.0009423,0.0009423,3.65318,258.97,62.86702059,4.456575456,0.022220132
Barbados,petroleum_n_other_liquids,1988,0.015338372,0.002791473,3.65318,258.97,62.86702059,4.456575456,1.2
Barbados,nuclear,1988,0.0,0.0,3.65318,258.97,62.86702059,4.456575456,0.0
Barbados,renewables_n_other,1988,0.0,0.0,3.65318,258.97,62.86702059,4.456575456,0.0
Belarus,all_energy_types,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,coal,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,natural_gas,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,petroleum_n_other_liquids,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,nuclear,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,renewables_n_other,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,all_energy_types,1988,2.147432572,0.498365251,307.2803,9908.15,216.7339587,6.988513655,116.8812839
Belgium,coal,1988,0.411279644,0.063851141,307.2803,9908.15,216.7339587,6.988513655,36.18865249
Belgium,natural_gas,1988,0.318435,0.0006288,307.2803,9908.15,216.7339587,6.988513655,17.1776264
Belgium,petroleum_n_other_liquids,1988,0.994904064,0.0,307.2803,9908.15,216.7339587,6.988513655,63.515005
Belgium,nuclear,1988,0.424325286,0.424325286,307.2803,9908.15,216.7339587,6.988513655,0.0
Belgium,renewables_n_other,1988,-0.001511421,0.009560024,307.2803,9908.15,216.7339587,6.988513655,0.0
Belize,all_energy_types,1988,0.002583755,0.00041296,0.698207,179.023,14.4325286,3.700556666,0.2
Belize,coal,1988,0.0,0.0,0.698207,179.023,14.4325286,3.700556666,0.0
Belize,natural_gas,1988,0.0,0.0,0.698207,179.023,14.4325286,3.700556666,0.0
Belize,petroleum_n_other_liquids,1988,0.002170795,0.0,0.698207,179.023,14.4325286,3.700556666,0.2
Belize,nuclear,1988,0.0,0.0,0.698207,179.023,14.4325286,3.700556666,0.0
Belize,renewables_n_other,1988,0.00041296,0.00041296,0.698207,179.023,14.4325286,3.700556666,0.0
Benin,all_energy_types,1988,0.007368095,0.01124,10.0239,4672.84,1.576791602,0.735052711,0.4
Benin,coal,1988,0.0,0.0,10.0239,4672.84,1.576791602,0.735052711,0.0
Benin,natural_gas,1988,0.0,0.0,10.0239,4672.84,1.576791602,0.735052711,0.0
Benin,petroleum_n_other_liquids,1988,0.006788055,0.01124,10.0239,4672.84,1.576791602,0.735052711,0.4
Benin,nuclear,1988,0.0,0.0,10.0239,4672.84,1.576791602,0.735052711,0.0
Benin,renewables_n_other,1988,0.00058004,0.0,10.0239,4672.84,1.576791602,0.735052711,0.0
Bermuda,all_energy_types,1988,0.010856062,0.0,4.4118,60.8156,178.5078549,2.460687769,0.7
Bermuda,coal,1988,0.0,0.0,4.4118,60.8156,178.5078549,2.460687769,0.0
Bermuda,natural_gas,1988,0.0,0.0,4.4118,60.8156,178.5078549,2.460687769,0.0
Bermuda,petroleum_n_other_liquids,1988,0.010856062,0.0,4.4118,60.8156,178.5078549,2.460687769,0.7
Bermuda,nuclear,1988,0.0,0.0,4.4118,60.8156,178.5078549,2.460687769,0.0
Bermuda,renewables_n_other,1988,0.0,0.0,4.4118,60.8156,178.5078549,2.460687769,0.0
Bhutan,all_energy_types,1988,0.011865333,0.015815858,1.15838,504.186,23.53364206,10.24304015,0.061041146
Bhutan,coal,1988,0.000331761,3.05e-05,1.15838,504.186,23.53364206,10.24304015,0.030611146
Bhutan,natural_gas,1988,0.0,0.0,1.15838,504.186,23.53364206,10.24304015,0.0
Bhutan,petroleum_n_other_liquids,1988,0.000477207,0.0,1.15838,504.186,23.53364206,10.24304015,0.03043
Bhutan,nuclear,1988,0.0,0.0,1.15838,504.186,23.53364206,10.24304015,0.0
Bhutan,renewables_n_other,1988,0.011056364,0.015785396,1.15838,504.186,23.53364206,10.24304015,0.0
Bolivia,all_energy_types,1988,0.077011168,0.157697804,25.9086,6580.32,11.7032558,2.972417197,3.442793333
Bolivia,coal,1988,0.0,0.0,25.9086,6580.32,11.7032558,2.972417197,0.0
Bolivia,natural_gas,1988,0.019,0.098,25.9086,6580.32,11.7032558,2.972417197,0.742793333
Bolivia,petroleum_n_other_liquids,1988,0.04462444,0.0463179,25.9086,6580.32,11.7032558,2.972417197,2.7
Bolivia,nuclear,1988,0.0,0.0,25.9086,6580.32,11.7032558,2.972417197,0.0
Bolivia,renewables_n_other,1988,0.013386728,0.013379904,25.9086,6580.32,11.7032558,2.972417197,0.0
Bosnia and Herzegovina,all_energy_types,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,coal,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,natural_gas,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,petroleum_n_other_liquids,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,nuclear,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,renewables_n_other,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,all_energy_types,1988,0.024472708,0.013562228,9.140061,1200.073,20.39268251,2.677521263,1.761208501
Botswana,coal,1988,0.014627423,0.013562228,9.140061,1200.073,20.39268251,2.677521263,1.161208501
Botswana,natural_gas,1988,0.0,0.0,9.140061,1200.073,20.39268251,2.677521263,0.0
Botswana,petroleum_n_other_liquids,1988,0.009599621,0.0,9.140061,1200.073,20.39268251,2.677521263,0.6
Botswana,nuclear,1988,0.0,0.0,9.140061,1200.073,20.39268251,2.677521263,0.0
Botswana,renewables_n_other,1988,0.000245664,0.0,9.140061,1200.073,20.39268251,2.677521263,0.0
Brazil,all_energy_types,1988,5.069776846,3.797899304,1540.728,143943.8,35.22052944,3.290507374,222.947276
Brazil,coal,1988,0.401656307,0.116805501,1540.728,143943.8,35.22052944,3.290507374,41.78023435
Brazil,natural_gas,1988,0.107379,0.107379,1540.728,143943.8,35.22052944,3.290507374,6.16704165
Brazil,petroleum_n_other_liquids,1988,2.401562687,1.2372275,1540.728,143943.8,35.22052944,3.290507374,175.0
Brazil,nuclear,1988,0.00317998,0.00317998,1540.728,143943.8,35.22052944,3.290507374,0.0
Brazil,renewables_n_other,1988,2.155998872,2.333307322,1540.728,143943.8,35.22052944,3.290507374,0.0
British Virgin Islands,all_energy_types,1988,0.000662478,0.0,0.188978,16.155,41.00764137,3.505585023,0.04407
British Virgin Islands,coal,1988,0.0,0.0,0.188978,16.155,41.00764137,3.505585023,0.0
British Virgin Islands,natural_gas,1988,0.0,0.0,0.188978,16.155,41.00764137,3.505585023,0.0
British Virgin Islands,petroleum_n_other_liquids,1988,0.000662478,0.0,0.188978,16.155,41.00764137,3.505585023,0.04407
British Virgin Islands,nuclear,1988,0.0,0.0,0.188978,16.155,41.00764137,3.505585023,0.0
British Virgin Islands,renewables_n_other,1988,0.0,0.0,0.188978,16.155,41.00764137,3.505585023,0.0
Brunei,all_energy_types,1988,0.070541743,0.681277156,17.6672,244.405,288.6264331,3.992808333,4.47141522
Brunei,coal,1988,0.0,0.0,17.6672,244.405,288.6264331,3.992808333,0.0
Brunei,natural_gas,1988,0.058272,0.369056,17.6672,244.405,288.6264331,3.992808333,3.67141522
Brunei,petroleum_n_other_liquids,1988,0.012269743,0.312221156,17.6672,244.405,288.6264331,3.992808333,0.8
Brunei,nuclear,1988,0.0,0.0,17.6672,244.405,288.6264331,3.992808333,0.0
Brunei,renewables_n_other,1988,0.0,0.0,17.6672,244.405,288.6264331,3.992808333,0.0
Bulgaria,all_energy_types,1988,1.435622658,0.44100423,91.721,8982.745,159.8200392,15.65206068,97.32900077
Bulgaria,coal,1988,0.409267511,0.238369698,91.721,8982.745,159.8200392,15.65206068,42.1717674
Bulgaria,natural_gas,1988,0.208403,0.0003772,91.721,8982.745,159.8200392,15.65206068,11.15723338
